date_sold,year_sold,price,bedrooms,year_quarter,MA,normalized_price
2008-07-11,2008,442000,4,2008_Q3,561852.0,0.8666666666666667
2008-07-14,2008,360000,3,2008_Q3,423811.0,0.9113924050632911
2008-07-14,2008,495000,4,2008_Q3,561852.0,0.9705882352941176
2008-07-16,2008,468000,3,2008_Q3,423811.0,1.1848101265822786
2008-07-16,2008,605000,3,2008_Q3,423811.0,1.5316455696202531
2008-07-16,2008,1090000,4,2008_Q3,561852.0,2.1372549019607843
2008-07-17,2008,558000,4,2008_Q3,561852.0,1.0941176470588236
2008-07-18,2008,700000,3,2008_Q3,423811.0,1.7721518987341771
2008-07-18,2008,1300000,4,2008_Q3,561852.0,2.549019607843137
2008-07-19,2008,320000,3,2008_Q3,423811.0,0.810126582278481
2008-07-23,2008,415000,3,2008_Q3,423811.0,1.0506329113924051
2008-07-23,2008,480000,4,2008_Q3,561852.0,0.9411764705882353
2008-07-23,2008,553000,4,2008_Q3,561852.0,1.084313725490196
2008-07-23,2008,885000,4,2008_Q3,561852.0,1.7352941176470589
2008-07-25,2008,370000,4,2008_Q3,561852.0,0.7254901960784313
2008-07-26,2008,564000,3,2008_Q3,423811.0,1.4278481012658228
2008-07-28,2008,365000,3,2008_Q3,423811.0,0.9240506329113924
2008-07-29,2008,927000,4,2008_Q3,561852.0,1.8176470588235294
2008-07-30,2008,360000,3,2008_Q3,423811.0,0.9113924050632911
2008-07-30,2008,390000,4,2008_Q3,561852.0,0.7647058823529411
2008-07-31,2008,440000,4,2008_Q3,561852.0,0.8627450980392157
2008-08-01,2008,430000,3,2008_Q3,423811.0,1.0886075949367089
2008-08-01,2008,595000,3,2008_Q3,423811.0,1.5063291139240507
2008-08-04,2008,365000,3,2008_Q3,423811.0,0.9240506329113924
2008-08-04,2008,585000,3,2008_Q3,423811.0,1.481012658227848
2008-08-04,2008,602500,4,2008_Q3,561852.0,1.1813725490196079
2008-08-05,2008,359000,3,2008_Q3,423811.0,0.9088607594936708
2008-08-05,2008,475000,3,2008_Q3,423811.0,1.2025316455696202
2008-08-06,2008,315000,3,2008_Q3,423811.0,0.7974683544303798
2008-08-06,2008,320000,4,2008_Q3,561852.0,0.6274509803921569
2008-08-06,2008,325000,4,2008_Q3,561852.0,0.6372549019607843
2008-08-06,2008,341000,3,2008_Q3,423811.0,0.8632911392405064
2008-08-06,2008,540000,4,2008_Q3,561852.0,1.0588235294117647
2008-08-07,2008,395000,4,2008_Q3,561852.0,0.7745098039215687
2008-08-09,2008,370000,3,2008_Q3,423811.0,0.9367088607594937
2008-08-09,2008,620000,4,2008_Q3,561852.0,1.2156862745098038
2008-08-09,2008,631000,4,2008_Q3,561852.0,1.2372549019607844
2008-08-11,2008,405000,4,2008_Q3,561852.0,0.7941176470588235
2008-08-12,2008,548000,3,2008_Q3,423811.0,1.3873417721518988
2008-08-13,2008,405000,4,2008_Q3,561852.0,0.7941176470588235
